expr,time,NumberRows,NumberGroups,seconds,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",15228212316,1e+07,10000,152.28212316,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",15148331159,1e+07,10000,151.48331159,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",1648279448,1e+07,1e+05,16.48279448,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",18785145039,1e+07,1e+05,187.85145039,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",1414447615,1e+07,1e+05,14.14447615,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",18662812561,1e+07,1e+05,186.62812561,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",17802521666,1e+07,1e+05,178.02521666,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",17911359736,1e+07,1e+05,179.11359736,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",17691141990,1e+07,1e+05,176.9114199,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",18078825530,1e+07,1e+05,180.7882553,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",17749456071,1e+07,1e+05,177.49456071,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",17477690745,1e+07,1e+05,174.77690745,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",18001051847,1e+07,1e+05,180.01051847,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",1422977391,1e+07,1e+05,14.22977391,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",18352527612,1e+07,1e+05,183.52527612,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",17562049404,1e+07,1e+05,175.62049404,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",18125783386,1e+07,1e+05,181.25783386,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",18416300971,1e+07,1e+05,184.16300971,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",18084663235,1e+07,1e+05,180.84663235,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",1520063021,1e+07,1e+05,15.20063021,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",18678021674,1e+07,1e+05,186.78021674,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",17815583525,1e+07,1e+05,178.15583525,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",18097349621,1e+07,1e+05,180.97349621,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",17878318372,1e+07,1e+05,178.78318372,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",18276973902,1e+07,1e+05,182.76973902,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",17483298747,1e+07,1e+05,174.83298747,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",17818611497,1e+07,1e+05,178.18611497,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",18111251527,1e+07,1e+05,181.11251527,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",17306304858,1e+07,1e+05,173.06304858,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",17934459776,1e+07,1e+05,179.34459776,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",18346951853,1e+07,1e+05,183.46951853,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",1398665463,1e+07,1e+05,13.98665463,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",28834292699,1e+07,1e+06,288.34292699,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",29113007074,1e+07,1e+06,291.13007074,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",4388888571,1e+07,1e+06,43.88888571,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",4864381030,1e+07,1e+06,48.6438103,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",29950124579,1e+07,1e+06,299.50124579,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",28827611511,1e+07,1e+06,288.27611511,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",30699949759,1e+07,1e+06,306.99949759,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",28433742824,1e+07,1e+06,284.33742824,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",28393759550,1e+07,1e+06,283.9375955,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",28176621216,1e+07,1e+06,281.76621216,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",27619542213,1e+07,1e+06,276.19542213,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",27411173169,1e+07,1e+06,274.11173169,Sorted
