expr,time,NumberRows,NumberGroups,seconds,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",5937739,1000,100,0.05937739,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",4521697,1000,100,0.04521697,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",6261286,1000,100,0.06261286,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",7766744,1000,100,0.07766744,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",8010107,1000,100,0.08010107,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",4806866,1000,100,0.04806866,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",4642260,1000,100,0.0464226,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",4822807,1000,100,0.04822807,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",4514132,1000,100,0.04514132,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",5085057,1000,100,0.05085057,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",7986283,1000,100,0.07986283,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",8133531,1000,100,0.08133531,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",4577516,1000,100,0.04577516,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",22501780,10000,10,0.2250178,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",8731463,10000,10,0.08731463,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",3587069,10000,10,0.03587069,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",21309070,10000,10,0.2130907,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",18592085,10000,10,0.18592085,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",21816627,10000,10,0.21816627,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",4103870,10000,10,0.0410387,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",4304951,10000,10,0.04304951,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",5767623,10000,10,0.05767623,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",22871399,10000,10,0.22871399,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",3512408,10000,10,0.03512408,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",8502522,10000,10,0.08502522,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",22433748,10000,10,0.22433748,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",7449152,10000,10,0.07449152,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",19615564,10000,10,0.19615564,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",17622228,10000,10,0.17622228,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",5005671,10000,10,0.05005671,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",21781253,10000,10,0.21781253,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",16914584,10000,10,0.16914584,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",6543887,10000,10,0.06543887,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",20283443,10000,10,0.20283443,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",3576734,10000,10,0.03576734,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",19228710,10000,10,0.1922871,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",8867442,10000,10,0.08867442,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",23815992,10000,10,0.23815992,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",16488583,10000,10,0.16488583,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",8530541,10000,10,0.08530541,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",6283276,10000,10,0.06283276,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",19875785,10000,10,0.19875785,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",6242722,10000,10,0.06242722,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",23706171,10000,100,0.23706171,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",13043628,10000,100,0.13043628,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",7218225,10000,100,0.07218225,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",3673736,10000,100,0.03673736,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",21300088,10000,100,0.21300088,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",7456644,10000,100,0.07456644,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",3911556,10000,100,0.03911556,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",3594016,10000,100,0.03594016,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",18400360,10000,100,0.1840036,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",26552466,10000,100,0.26552466,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",17461983,10000,100,0.17461983,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",20541190,10000,100,0.2054119,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",22317655,10000,100,0.22317655,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",13578981,10000,100,0.13578981,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",23596041,10000,100,0.23596041,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",21371793,10000,100,0.21371793,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",17551774,10000,100,0.17551774,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",19031156,10000,100,0.19031156,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",25123455,10000,100,0.25123455,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",22839197,10000,100,0.22839197,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",21134930,10000,100,0.2113493,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",20415073,10000,100,0.20415073,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",21826284,10000,100,0.21826284,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",19809414,10000,100,0.19809414,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",14519511,10000,100,0.14519511,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",17515096,10000,100,0.17515096,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",12272622,10000,100,0.12272622,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",18010963,10000,100,0.18010963,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",18773547,10000,100,0.18773547,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",21416023,10000,100,0.21416023,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",26713869,10000,1000,0.26713869,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",22765945,10000,1000,0.22765945,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",8778605,10000,1000,0.08778605,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",23746282,10000,1000,0.23746282,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",21324147,10000,1000,0.21324147,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",7628108,10000,1000,0.07628108,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",28309601,10000,1000,0.28309601,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",17567769,10000,1000,0.17567769,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",18485934,10000,1000,0.18485934,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",20880048,10000,1000,0.20880048,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",27231787,10000,1000,0.27231787,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",16923423,10000,1000,0.16923423,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",17589707,10000,1000,0.17589707,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",22090543,10000,1000,0.22090543,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",21597288,10000,1000,0.21597288,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",19762806,10000,1000,0.19762806,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",8595759,10000,1000,0.08595759,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",21518557,10000,1000,0.21518557,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",16884729,10000,1000,0.16884729,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",21714418,10000,1000,0.21714418,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",18958156,10000,1000,0.18958156,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",10990473,10000,1000,0.10990473,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",20117309,10000,1000,0.20117309,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",20561166,10000,1000,0.20561166,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",18469884,10000,1000,0.18469884,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",18422475,10000,1000,0.18422475,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",21276674,10000,1000,0.21276674,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",17351475,10000,1000,0.17351475,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",8329901,10000,1000,0.08329901,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",21215487,10000,1000,0.21215487,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",180028165,1e+05,10,1.80028165,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",15009450,1e+05,10,0.1500945,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",174249074,1e+05,10,1.74249074,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",15170000,1e+05,10,0.1517,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",168918131,1e+05,10,1.68918131,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",160461369,1e+05,10,1.60461369,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",12775771,1e+05,10,0.12775771,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",22698356,1e+05,10,0.22698356,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",16531903,1e+05,10,0.16531903,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",21446606,1e+05,10,0.21446606,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",210902797,1e+05,10,2.10902797,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",176906996,1e+05,10,1.76906996,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",249478255,1e+05,10,2.49478255,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",10108909,1e+05,10,0.10108909,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",163456541,1e+05,10,1.63456541,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",17353027,1e+05,10,0.17353027,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",13759988,1e+05,10,0.13759988,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",159237380,1e+05,10,1.5923738,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",147565791,1e+05,10,1.47565791,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",16476517,1e+05,10,0.16476517,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",151813620,1e+05,10,1.5181362,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",12971831,1e+05,10,0.12971831,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",13885211,1e+05,10,0.13885211,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",146574666,1e+05,10,1.46574666,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",9645301,1e+05,10,0.09645301,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",153016761,1e+05,10,1.53016761,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",168360837,1e+05,10,1.68360837,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",17242796,1e+05,10,0.17242796,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",14603524,1e+05,10,0.14603524,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",169171386,1e+05,10,1.69171386,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",166247347,1e+05,100,1.66247347,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",162284443,1e+05,100,1.62284443,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",27976796,1e+05,100,0.27976796,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",156005990,1e+05,100,1.5600599,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",28356511,1e+05,100,0.28356511,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",183965044,1e+05,100,1.83965044,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",160189016,1e+05,100,1.60189016,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",152325790,1e+05,100,1.5232579,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",170388958,1e+05,100,1.70388958,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",162590296,1e+05,100,1.62590296,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",16800435,1e+05,100,0.16800435,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",164498238,1e+05,100,1.64498238,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",16231541,1e+05,100,0.16231541,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",169741447,1e+05,100,1.69741447,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",159427258,1e+05,100,1.59427258,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",149394136,1e+05,100,1.49394136,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",146538678,1e+05,100,1.46538678,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",153411924,1e+05,100,1.53411924,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",137696301,1e+05,100,1.37696301,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",10165651,1e+05,100,0.10165651,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",8775566,1e+05,100,0.08775566,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",144234876,1e+05,100,1.44234876,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",158282803,1e+05,100,1.58282803,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",25891575,1e+05,100,0.25891575,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",27277633,1e+05,100,0.27277633,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",151158131,1e+05,100,1.51158131,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",10838139,1e+05,100,0.10838139,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",156275034,1e+05,100,1.56275034,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",154835370,1e+05,100,1.5483537,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",26608539,1e+05,100,0.26608539,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",161633653,1e+05,1000,1.61633653,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",155086745,1e+05,1000,1.55086745,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",148807061,1e+05,1000,1.48807061,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",147749635,1e+05,1000,1.47749635,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",134014957,1e+05,1000,1.34014957,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",147945109,1e+05,1000,1.47945109,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",148025441,1e+05,1000,1.48025441,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",151725490,1e+05,1000,1.5172549,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",149456886,1e+05,1000,1.49456886,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",14729712,1e+05,1000,0.14729712,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",9680255,1e+05,1000,0.09680255,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",163440170,1e+05,1000,1.6344017,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",164810447,1e+05,1000,1.64810447,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",13122840,1e+05,1000,0.1312284,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",10520750,1e+05,1000,0.1052075,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",148826638,1e+05,1000,1.48826638,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",154419595,1e+05,1000,1.54419595,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",138873190,1e+05,1000,1.3887319,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",154066095,1e+05,1000,1.54066095,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",162041107,1e+05,1000,1.62041107,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",138637007,1e+05,1000,1.38637007,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",147217987,1e+05,1000,1.47217987,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",137990123,1e+05,1000,1.37990123,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",12889135,1e+05,1000,0.12889135,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",148884138,1e+05,1000,1.48884138,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",148194625,1e+05,1000,1.48194625,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",152099087,1e+05,1000,1.52099087,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",141568916,1e+05,1000,1.41568916,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",152556486,1e+05,1000,1.52556486,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",156388946,1e+05,1000,1.56388946,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",163924535,1e+05,10000,1.63924535,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",138531565,1e+05,10000,1.38531565,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",176371285,1e+05,10000,1.76371285,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",26050972,1e+05,10000,0.26050972,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",146080532,1e+05,10000,1.46080532,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",155040269,1e+05,10000,1.55040269,Sorted
